Libcell,Min_Delay,Avg_Delay,Max_Delay
NOR2_X2N_A9PP84TSL_C14,0.006,0.008754385964912287,0.014
PREICG_X2R_A9PP84TL_C14,0.024,0.043799999999999985,0.056
NAND2_X6R_A9PP84TSL_C14,0.006,0.011954545454545457,0.020
NAND2_X4R_A9PP84TR_C14,0.009,0.0094,0.010
PREICG_X2R_A9PP84TL_C16,0.028,0.04580769230769233,0.058
AOI21_X6N_A9PP84TSL_C14,0.009,0.018000000000000006,0.029
AOI21_X6N_A9PP84TSL_C16,0.030,0.03,0.030
BUFH_X5N_A9PP84TR_C14,0.014,0.014,0.014
AOI22_X6N_A9PP84TR_C14,0.014,0.014000000000000004,0.014
NOR2_X1R_A9PP84TSL_C14,0.007,0.009600000000000001,0.015
BUFH_X5N_A9PP84TR_C16,0.026,0.026,0.026
NOR2_X1R_A9PP84TSL_C16,0.008,0.008000000000000002,0.008
XOR2_X1N_A9PP84TR_C16,0.006,0.009382352941176475,0.015
NAND2_X1P5R_A9PP84TL_C14,0.004,0.004566343042071173,0.025
INV_X4R_A9PP84TL_C14,0.008,0.008,0.008
SDFFXRPQ_X2N_A9PP84TR_C14,0.036,0.03600000000000001,0.036
NAND2_X1P5R_A9PP84TL_C16,0.015,0.015,0.015
PREICG_X10R_A9PP84TL_C14,0.014,0.017486238532110076,0.037
INV_X4R_A9PP84TL_C16,0.006,0.006,0.006
NOR2XB_X1N_A9PP84TSL_C14,0.009,0.013363636363636371,0.017
SDFFXRPQ_X2N_A9PP84TR_C16,0.033,0.03760000000000002,0.048
PREICG_X10R_A9PP84TL_C16,0.045,0.045,0.045
NOR2XB_X1N_A9PP84TSL_C16,0.031,0.036750000000000005,0.045
SDFFRPQ_X3N_A9PP84TR_C16,0.046,0.05575000000000001,0.085
INVP_X1N_A9PP84TR_C14,0.014,0.024130434782608703,0.064
AOI22_X1N_A9PP84TR_C14,0.026,0.026,0.026
AOI22_X1N_A9PP84TR_C16,0.026,0.026,0.026
INVP_X1N_A9PP84TR_C16,0.014,0.033666666666666664,0.075
AO211_X1N_A9PP84TSL_C14,0.020,0.022699999999999994,0.027
BUFH_X14N_A9PP84TL_C14,0.011,0.011,0.011
AOI211_X1N_A9PP84TL_C14,0.027,0.027,0.027
MXT2_X4N_A9PP84TSL_C14,0.015,0.01554545454545455,0.017
AOI21B_X2N_A9PP84TSL_C14,0.013,0.02057142857142857,0.026
MXT2_X4N_A9PP84TSL_C16,0.018,0.018,0.018
INV_X10F_A9PP84TL_C14,0.004,0.004,0.004
INV_X16F_A9PP84TSL_C14,0.006,0.009911111111111117,0.012
INV_X10F_A9PP84TL_C16,0.006,0.006,0.006
AOI31_X4N_A9PP84TL_C14,0.010,0.01,0.010
NOR2_X1P5F_A9PP84TSL_C14,0.007,0.009,0.012
MXT2_X4N_A9PP84TL_C14,0.014,0.021287392325763387,0.036
NOR3_X6F_A9PP84TL_C14,0.015,0.0165,0.018
NAND4_X4R_A9PP84TSL_C14,0.009,0.0168840579710145,0.029
MXT2_X4N_A9PP84TL_C16,0.019,0.01925,0.020
BUF_X2N_A9PP84TSL_C14,0.015,0.01575,0.018
INV_X14N_A9PP84TL_C14,0.011,0.011,0.011
INV_X6R_A9PP84TR_C14,0.017,0.017,0.017
NAND2_X2N_A9PP84TL_C14,0.020,0.02,0.020
NAND2_X2N_A9PP84TL_C16,0.020,0.0205,0.021
INV_X6R_A9PP84TR_C16,0.005,0.008,0.011
OA22_X2N_A9PP84TSL_C14,0.023,0.02366666666666667,0.024
INV_X14N_A9PP84TSL_C14,0.005,0.0054696969696969725,0.014
AO21B_X2N_A9PP84TL_C14,0.015,0.020999999999999998,0.023
BUFH_X7N_A9PP84TSL_C14,0.010,0.01365952309085494,0.025
NOR3_X4N_A9PP84TSL_C14,0.011,0.011,0.011
AO21B_X2N_A9PP84TL_C16,0.015,0.0165,0.018
BUFH_X16N_A9PP84TR_C14,0.010,0.011142857142857144,0.014
AOI211_X2N_A9PP84TSL_C14,0.010,0.014190476190476194,0.019
AO21A1AI2_X2N_A9PP84TR_C16,0.023,0.023,0.023
NOR2_X4TN_A9PP84TSL_C14,0.010,0.01,0.010
NOR3_X1P5F_A9PP84TSL_C14,0.006,0.0133696369636963,0.025
AND2_X1N_A9PP84TR_C14,0.027,0.027,0.027
AND2_X1N_A9PP84TR_C16,0.015,0.023330357142857146,0.043
INV_X12F_A9PP84TR_C14,0.006,0.006888888888888889,0.010
INV_X12F_A9PP84TR_C16,0.005,0.005666666666666667,0.007
PREICG_X7N_A9PP84TL_C14,0.017,0.040074626865671585,0.053
OR3_X2N_A9PP84TSL_C14,0.028,0.028,0.028
INV_X5F_A9PP84TL_C14,0.013,0.013,0.013
PREICG_X7N_A9PP84TL_C16,0.022,0.040400000000000005,0.042
INV_X5F_A9PP84TL_C16,0.005,0.0115,0.012
DLY2_X2N_A9PP84TR_C16,0.017,0.023157894736842113,0.035
DFFRPQ_X3N_A9PP84TR_C16,0.033,0.033,0.033
MXT2_X6N_A9PP84TR_C14,0.020,0.021416666666666667,0.024
INV_X7N_A9PP84TSL_C14,0.006,0.009428571428571434,0.014
NAND2_X2N_A9PP84TSL_C14,0.009,0.01031034482758621,0.015
MXT2_X6N_A9PP84TR_C16,0.025,0.025,0.025
NAND2B_X1N_A9PP84TSL_C14,0.015,0.0162,0.017
NAND2_X2N_A9PP84TSL_C16,0.014,0.016,0.017
AOI2XB1_X2N_A9PP84TSL_C14,0.008,0.008,0.008
PREICG_X2N_A9PP84TL_C14,0.010,0.038150039277297494,0.095
AOI31_X1N_A9PP84TR_C16,0.010,0.02877777777777779,0.046
PREICG_X2N_A9PP84TL_C16,0.028,0.048329113924050676,0.083
OA21A1OI2_X1N_A9PP84TR_C14,0.045,0.045,0.045
AOI22_X1P5F_A9PP84TSL_C14,0.022,0.022,0.022
OA21A1OI2_X1N_A9PP84TR_C16,0.025,0.033,0.039
XNOR2_X4TN_A9PP84TR_C16,0.015,0.015,0.015
MXT2_X1N_A9PP84TR_C14,0.030,0.03,0.030
INV_X6R_A9PP84TSL_C14,0.004,0.006411736641221418,0.043
NAND2_X1R_A9PP84TSL_C14,0.009,0.0128421052631579,0.025
MXT2_X1N_A9PP84TR_C16,0.016,0.03523809523809525,0.045
NAND2_X1R_A9PP84TSL_C16,0.017,0.018000000000000002,0.019
AOI21_X1N_A9PP84TSL_C14,0.011,0.018560000000000007,0.036
INV_X4N_A9PP84TL_C14,0.004,0.028100000000000014,0.044
AOI21_X1N_A9PP84TSL_C16,0.020,0.02225,0.027
OAI31_X2N_A9PP84TSL_C14,0.022,0.022,0.022
INV_X4N_A9PP84TL_C16,0.007,0.007,0.007
PREICG_X10N_A9PP84TL_C14,0.020,0.02241860465116279,0.033
AO21_X1N_A9PP84TR_C16,0.009,0.02089285714285715,0.033
OAI211_X3N_A9PP84TL_C14,0.016,0.016,0.016
NAND2_X6TN_A9PP84TSL_C14,0.009,0.013500000000000007,0.016
OAI211_X3N_A9PP84TL_C16,0.016,0.016,0.016
SDFFXRPQ_X4N_A9PP84TSL_C14,0.014,0.027861702127659572,0.051
SDFFXRPQ_X4N_A9PP84TSL_C16,0.021,0.047375,0.063
NAND4_X3N_A9PP84TL_C14,0.020,0.02,0.020
MX2_X4N_A9PP84TR_C14,0.013,0.01639344262295083,0.027
INV_X7F_A9PP84TR_C14,0.008,0.008,0.008
MX2_X4N_A9PP84TR_C16,0.019,0.019,0.019
BUF_X32N_A9PP84TR_C14,0.015,0.0165,0.018
BUFH_X10N_A9PP84TSL_C14,0.009,0.013928880643166948,0.021
BUF_X32N_A9PP84TR_C16,0.016,0.0259814814814815,0.032
OAI21_X4N_A9PP84TSL_C14,0.009,0.012666666666666665,0.015
INV_X2F_A9PP84TR_C14,0.014,0.0186875,0.019
NOR3BB_X2N_A9PP84TL_C14,0.022,0.022,0.022
BUF_X8N_A9PP84TSL_C14,0.019,0.018999999999999996,0.019
NOR3_X1F_A9PP84TSL_C14,0.011,0.015333333333333332,0.023
BUF_X1N_A9PP84TL_C16,0.017,0.0793809523809524,0.102
INV_X6N_A9PP84TR_C14,0.005,0.03563414634146342,0.049
BUF_X10N_A9PP84TSL_C14,0.013,0.016181854199683144,0.020
NOR2_X6R_A9PP84TL_C14,0.019,0.019,0.019
INV_X6N_A9PP84TR_C16,0.008,0.010150000000000001,0.016
NOR2_X6R_A9PP84TL_C16,0.052,0.052,0.052
SDFFXSQ_X4N_A9PP84TSL_C14,0.038,0.0485,0.059
SDFFRPQH_X2N_A9PP84TR_C14,0.048,0.048,0.048
SDFFXSQ_X4N_A9PP84TSL_C16,0.026,0.02720792079207923,0.060
NAND3_X4N_A9PP84TSL_C14,0.008,0.010499999999999999,0.013
NAND2_X6R_A9PP84TL_C14,0.007,0.007333333333333333,0.008
MX2_X1N_A9PP84TSL_C16,0.023,0.023,0.023
INV_X20R_A9PP84TSL_C14,0.005,0.007071666666666709,0.009
BUFH_X2N_A9PP84TSL_C14,0.010,0.020015188834154648,0.031
INV_X4F_A9PP84TSL_C14,0.005,0.009566338134950546,0.015
BUFH_X2N_A9PP84TSL_C16,0.012,0.012950000000000007,0.013
BUFH_X7N_A9PP84TL_C14,0.008,0.013333333333333334,0.017
SDFFXRPQ_X4N_A9PP84TL_C14,0.030,0.03,0.030
NAND2_X1R_A9PP84TL_C16,0.018,0.018,0.018
AOI22_X3N_A9PP84TSL_C14,0.012,0.0142,0.016
SDFFXRPQ_X4N_A9PP84TL_C16,0.075,0.078,0.081
BUF_X10N_A9PP84TR_C14,0.014,0.014076923076923086,0.015
INV_X32R_A9PP84TR_C14,0.018,0.01888888888888889,0.019
AOI22_X3N_A9PP84TSL_C16,0.010,0.010166666666666666,0.011
BUF_X8N_A9PP84TR_C16,0.025,0.025,0.025
NAND2_X8N_A9PP84TSL_C14,0.015,0.015,0.015
BUFH_X2N_A9PP84TL_C14,0.030,0.030000000000000006,0.030
BUFH_X2N_A9PP84TL_C16,0.013,0.036,0.056
AO21B_X2N_A9PP84TSL_C14,0.008,0.014039473684210534,0.024
OR2_X1N_A9PP84TR_C16,0.015,0.022129629629629635,0.059
BUF_X3N_A9PP84TR_C14,0.018,0.018,0.018
AOI22_X2R_A9PP84TSL_C14,0.011,0.014476190476190481,0.027
NOR2_X3N_A9PP84TSL_C14,0.010,0.011999999999999999,0.015
BUF_X3N_A9PP84TR_C16,0.016,0.02236363636363636,0.027
INV_X2N_A9PP84TSL_C14,0.006,0.013393939393939402,0.063
INV_X2N_A9PP84TSL_C16,0.008,0.05289361702127663,0.076
AOI22_X6F_A9PP84TR_C14,0.012,0.012000000000000002,0.012
NOR2_X1TN_A9PP84TSL_C14,0.008,0.0085,0.009
DFFRPQ_X2N_A9PP84TSL_C16,0.053,0.053,0.053
NOR2_X2R_A9PP84TSL_C14,0.006,0.007500000000000004,0.013
PREICG_X6R_A9PP84TL_C14,0.026,0.053681818181818164,0.057
NOR2_X2R_A9PP84TSL_C16,0.016,0.016,0.016
NAND2_X8R_A9PP84TR_C14,0.011,0.013642857142857148,0.016
OR2_X1N_A9PP84TSL_C14,0.014,0.017375,0.019
MXT2_X0P5N_A9PP84TR_C16,0.030,0.03,0.030
NOR2XB_X2N_A9PP84TSL_C14,0.009,0.011769230769230761,0.018
NOR2_X3R_A9PP84TR_C16,0.009,0.009,0.009
AOI22_X1F_A9PP84TR_C14,0.019,0.03808333333333334,0.071
INVP_X1F_A9PP84TR_C14,0.017,0.018384615384615388,0.029
AO1B2_X1N_A9PP84TR_C16,0.007,0.03178947368421053,0.043
INVP_X1F_A9PP84TR_C16,0.005,0.03505161290322584,0.093
AOI22_X1F_A9PP84TR_C16,0.008,0.027499999999999993,0.060
AO21A1AI2_X2N_A9PP84TSL_C14,0.015,0.0155,0.016
PREICG_X1R_A9PP84TL_C14,0.015,0.015523064250411606,0.021
NAND2_X3R_A9PP84TR_C14,0.016,0.016,0.016
SDFFYRPQ2D_X2N_A9PP84TL_C16,0.030,0.0343888888888889,0.043
PREICG_X1R_A9PP84TL_C16,0.018,0.06533333333333334,0.082
AO211_X2N_A9PP84TSL_C14,0.020,0.026410256410256423,0.032
NAND2_X3R_A9PP84TR_C16,0.016,0.016,0.016
PREICG_X14R_A9PP84TL_C14,0.021,0.022000000000000002,0.024
BUFH_X4N_A9PP84TR_C14,0.012,0.017777777777777778,0.032
BUFH_X16N_A9PP84TSL_C14,0.008,0.011999999999999898,0.018
INV_X10R_A9PP84TR_C14,0.006,0.011000000000000001,0.014
XNOR2_X1N_A9PP84TR_C14,0.014,0.014,0.014
XNOR2_X2TN_A9PP84TSL_C14,0.014,0.014,0.014
XNOR2_X1N_A9PP84TR_C16,0.006,0.017206349206349215,0.041
INV_X10R_A9PP84TR_C16,0.006,0.006500000000000001,0.007
BUF_X28N_A9PP84TSL_C14,0.014,0.016219512195122007,0.020
INV_X3R_A9PP84TL_C14,0.007,0.036,0.063
SDFFXRPQ_X1N_A9PP84TR_C14,0.029,0.0642972972972973,0.099
INV_X3R_A9PP84TL_C16,0.007,0.01525,0.061
SDFFXRPQ_X1N_A9PP84TR_C16,0.024,0.08163248730964481,0.115
SDFFRPQ_X2N_A9PP84TR_C16,0.048,0.06801515151515153,0.107
NOR4_X1N_A9PP84TSL_C14,0.024,0.034666666666666665,0.042
BUF_X16N_A9PP84TSL_C14,0.011,0.014529667936853594,0.022
NOR4_X1N_A9PP84TSL_C16,0.027,0.027,0.027
NAND3_X6R_A9PP84TR_C14,0.014,0.020333333333333342,0.030
INV_X14F_A9PP84TL_C16,0.005,0.005,0.005
NAND2_X2F_A9PP84TL_C14,0.011,0.011499999999999986,0.012
NAND2_X3TN_A9PP84TSL_C14,0.011,0.011,0.011
AOI31_X3N_A9PP84TL_C14,0.020,0.02,0.020
BUFH_X8N_A9PP84TSL_C14,0.010,0.01303087885985746,0.020
OAI211_X1N_A9PP84TSL_C14,0.010,0.0195,0.023
NOR2_X1N_A9PP84TL_C14,0.019,0.019,0.019
OAI211_X1N_A9PP84TSL_C16,0.020,0.0205,0.021
AOI211_X3N_A9PP84TSL_C14,0.014,0.016,0.018
NOR2_X1N_A9PP84TL_C16,0.051,0.0535,0.056
MXT2_X3N_A9PP84TL_C16,0.019,0.019,0.019
INV_X14R_A9PP84TSL_C14,0.004,0.008062499999999998,0.014
NAND2_X1N_A9PP84TL_C14,0.022,0.023,0.024
INV_X5R_A9PP84TR_C16,0.006,0.0195,0.056
NAND2_X1N_A9PP84TL_C16,0.023,0.024333333333333335,0.025
AO21B_X1N_A9PP84TL_C14,0.008,0.008,0.008
INV_X8N_A9PP84TSL_C14,0.006,0.009902255639097735,0.016
AO22_X1N_A9PP84TSL_C14,0.016,0.019500000000000003,0.021
NAND2_X3N_A9PP84TSL_C14,0.011,0.0115,0.012
AO21A1AI2_X1N_A9PP84TR_C16,0.008,0.030135135135135153,0.050
INV_X16F_A9PP84TR_C14,0.004,0.0048000000000000004,0.005
NAND2B_X2N_A9PP84TSL_C14,0.020,0.021249999999999998,0.022
NAND2_X3N_A9PP84TSL_C16,0.017,0.017,0.017
NAND2_X4F_A9PP84TR_C14,0.014,0.014,0.014
MX2_X6N_A9PP84TL_C14,0.013,0.013,0.013
AOI211_X2N_A9PP84TR_C16,0.030,0.03,0.030
NOR2_X8R_A9PP84TSL_C14,0.033,0.033,0.033
INV_X7R_A9PP84TSL_C14,0.005,0.010446808510638256,0.015
BUFH_X10N_A9PP84TR_C14,0.009,0.012249999999999997,0.017
